{crackers, health} -> {household} (conf: 0.624, supp: 0.501, lift: 0.927, conv: 0.869)
{household, produce} -> {health} (conf: 0.761, supp: 0.509, lift: 0.928, conv: 0.753)
{health, produce} -> {household} (conf: 0.628, supp: 0.509, lift: 0.933, conv: 0.879)
{canned, household} -> {health} (conf: 0.765, supp: 0.501, lift: 0.933, conv: 0.766)
{crackers, household} -> {health} (conf: 0.767, supp: 0.501, lift: 0.935, conv: 0.771)
{canned, health} -> {household} (conf: 0.632, supp: 0.501, lift: 0.940, conv: 0.890)
{dessert, personal_care} -> {health} (conf: 0.771, supp: 0.539, lift: 0.941, conv: 0.787)
{drug, instant_dinner} -> {household} (conf: 0.634, supp: 0.524, lift: 0.943, conv: 0.895)
{books, health} -> {personal_care} (conf: 0.771, supp: 0.537, lift: 0.945, conv: 0.805)
{books, health} -> {dessert} (conf: 0.751, supp: 0.523, lift: 0.946, conv: 0.827)
{fruit, water} -> {household} (conf: 0.637, supp: 0.512, lift: 0.946, conv: 0.900)
{ethnic, instant_dinner} -> {household} (conf: 0.637, supp: 0.523, lift: 0.946, conv: 0.901)
{fruit, instant_dinner} -> {household} (conf: 0.637, supp: 0.524, lift: 0.947, conv: 0.902)
{fruit, health} -> {personal_care} (conf: 0.772, supp: 0.581, lift: 0.947, conv: 0.812)
{fruit, health} -> {dessert} (conf: 0.752, supp: 0.566, lift: 0.948, conv: 0.832)
{health, instant_dinner} -> {dessert} (conf: 0.753, supp: 0.551, lift: 0.948, conv: 0.832)
{fruit, instant_dinner} -> {meat} (conf: 0.737, supp: 0.607, lift: 0.948, conv: 0.846)
{drug, fruit} -> {household} (conf: 0.638, supp: 0.542, lift: 0.948, conv: 0.904)
{drug, ethnic} -> {household} (conf: 0.639, supp: 0.538, lift: 0.949, conv: 0.905)
{health, nutrition} -> {dessert} (conf: 0.754, supp: 0.508, lift: 0.949, conv: 0.836)
{health, nutrition} -> {personal_care} (conf: 0.774, supp: 0.522, lift: 0.950, conv: 0.818)
{instant_dinner, seasonal} -> {household} (conf: 0.639, supp: 0.528, lift: 0.950, conv: 0.906)
{crackers, nutrition} -> {household} (conf: 0.639, supp: 0.502, lift: 0.950, conv: 0.906)
{health, instant_dinner} -> {meat} (conf: 0.739, supp: 0.541, lift: 0.950, conv: 0.851)
{frozen_dessert, health} -> {dessert} (conf: 0.754, supp: 0.579, lift: 0.950, conv: 0.839)
{books, crackers} -> {household} (conf: 0.640, supp: 0.521, lift: 0.950, conv: 0.908)
{baking, household} -> {books} (conf: 0.793, supp: 0.516, lift: 0.951, conv: 0.801)
{ethnic, fruit} -> {household} (conf: 0.640, supp: 0.537, lift: 0.951, conv: 0.908)
{drug, water} -> {household} (conf: 0.640, supp: 0.529, lift: 0.952, conv: 0.910)
{frozen_food, household} -> {books} (conf: 0.794, supp: 0.519, lift: 0.952, conv: 0.806)
{books, fruit} -> {dessert} (conf: 0.756, supp: 0.573, lift: 0.952, conv: 0.845)
{household, personal_care} -> {books} (conf: 0.794, supp: 0.521, lift: 0.952, conv: 0.807)
{household, produce} -> {books} (conf: 0.795, supp: 0.532, lift: 0.953, conv: 0.809)
{household, meat} -> {fruit} (conf: 0.866, supp: 0.502, lift: 0.953, conv: 0.682)
{books, nutrition} -> {dessert} (conf: 0.757, supp: 0.509, lift: 0.953, conv: 0.848)
{books, instant_dinner} -> {meat} (conf: 0.742, supp: 0.552, lift: 0.953, conv: 0.860)
{ethnic, instant_dinner} -> {meat} (conf: 0.742, supp: 0.609, lift: 0.954, conv: 0.860)
{fruit, seasonal} -> {household} (conf: 0.642, supp: 0.546, lift: 0.954, conv: 0.913)
{household, packaged_foods} -> {books} (conf: 0.795, supp: 0.519, lift: 0.954, conv: 0.812)
{household, produce} -> {nutrition} (conf: 0.765, supp: 0.512, lift: 0.954, conv: 0.844)
{health, instant_dinner} -> {personal_care} (conf: 0.778, supp: 0.569, lift: 0.955, conv: 0.833)
{deli, dessert} -> {health} (conf: 0.783, supp: 0.541, lift: 0.955, conv: 0.828)
{household, other} -> {books} (conf: 0.796, supp: 0.512, lift: 0.955, conv: 0.814)
{frozen_dessert, instant_dinner} -> {meat} (conf: 0.743, supp: 0.623, lift: 0.955, conv: 0.863)
{canned, household} -> {nutrition} (conf: 0.765, supp: 0.501, lift: 0.955, conv: 0.846)
