{other, personal_care} -> {drinks} (conf: 0.669, supp: 0.107, lift: 0.922, conv: 0.828)
{baking, frozen_meat} -> {drinks} (conf: 0.681, supp: 0.061, lift: 0.938, conv: 0.859)
{baking, other} -> {drinks} (conf: 0.685, supp: 0.096, lift: 0.944, conv: 0.870)
{other, produce} -> {drinks} (conf: 0.687, supp: 0.119, lift: 0.946, conv: 0.874)
{dessert, frozen_pizza} -> {drinks} (conf: 0.692, supp: 0.058, lift: 0.953, conv: 0.890)
{frozen_meat, other} -> {drinks} (conf: 0.695, supp: 0.053, lift: 0.957, conv: 0.898)
{baking, pet} -> {drinks} (conf: 0.696, supp: 0.050, lift: 0.959, conv: 0.902)
{household, other} -> {drinks} (conf: 0.699, supp: 0.120, lift: 0.963, conv: 0.911)
{frozen_meat, household} -> {drinks} (conf: 0.700, supp: 0.081, lift: 0.964, conv: 0.913)
{none, other} -> {drinks} (conf: 0.703, supp: 0.092, lift: 0.968, conv: 0.922)
{household, packaged_foods} -> {drinks} (conf: 0.705, supp: 0.056, lift: 0.971, conv: 0.928)
{drinks, produce} -> {other} (conf: 0.258, supp: 0.119, lift: 0.973, conv: 0.990)
{meat, other} -> {drinks} (conf: 0.707, supp: 0.152, lift: 0.973, conv: 0.934)
{food, produce} -> {none} (conf: 0.317, supp: 0.154, lift: 0.975, conv: 0.988)
{dessert, other} -> {drinks} (conf: 0.709, supp: 0.116, lift: 0.976, conv: 0.940)
{none, pet} -> {drinks} (conf: 0.709, supp: 0.050, lift: 0.977, conv: 0.942)
{dessert, packaged_foods} -> {drinks} (conf: 0.710, supp: 0.063, lift: 0.978, conv: 0.945)
{baking, packaged_foods} -> {drinks} (conf: 0.712, supp: 0.061, lift: 0.981, conv: 0.951)
{baking, frozen_pizza} -> {food} (conf: 0.684, supp: 0.050, lift: 0.986, conv: 0.970)
{packaged_foods, personal_care} -> {food} (conf: 0.684, supp: 0.050, lift: 0.986, conv: 0.970)
{food_add-ons, other} -> {drinks} (conf: 0.723, supp: 0.145, lift: 0.995, conv: 0.987)
{baking, deli} -> {drinks} (conf: 0.723, supp: 0.105, lift: 0.996, conv: 0.990)
{frozen_meat, produce} -> {drinks} (conf: 0.724, supp: 0.092, lift: 0.998, conv: 0.994)
{dessert, frozen_pizza} -> {food} (conf: 0.692, supp: 0.058, lift: 0.998, conv: 0.995)
{drinks, produce} -> {none} (conf: 0.325, supp: 0.150, lift: 0.998, conv: 0.999)
{dessert, drinks} -> {none} (conf: 0.327, supp: 0.114, lift: 1.005, conv: 1.002)
{baking, personal_care} -> {drinks} (conf: 0.732, supp: 0.130, lift: 1.008, conv: 1.022)
{deli, personal_care} -> {drinks} (conf: 0.733, supp: 0.110, lift: 1.009, conv: 1.025)
{food_add-ons, packaged_foods} -> {drinks} (conf: 0.734, supp: 0.075, lift: 1.011, conv: 1.030)
{frozen_meat, personal_care} -> {drinks} (conf: 0.734, supp: 0.075, lift: 1.011, conv: 1.030)
{drinks, food} -> {other} (conf: 0.268, supp: 0.145, lift: 1.012, conv: 1.004)
